A1,B1,C1,D1,E1,F1,G1,H1
0.073,0.065,0.066,0.068,0.065,0.065,0.069,0.066
0.074,0.065,0.067,0.069,0.066,0.066,0.07,0.067
0.076,0.066,0.068,0.07,0.067,0.067,0.071,0.067
0.076,0.067,0.069,0.071,0.073,0.068,0.072,0.068
0.077,0.068,0.07,0.072,0.074,0.069,0.073,0.068
0.079,0.069,0.071,0.072,0.075,0.07,0.074,0.069
0.08,0.071,0.074,0.073,0.075,0.072,0.076,0.069
0.083,0.074,0.074,0.074,0.075,0.075,0.078,0.07
0.084,0.076,0.075,0.076,0.079,0.077,0.079,0.07
0.087,0.078,0.075,0.078,0.079,0.079,0.081,0.071
0.089,0.081,0.077,0.08,0.083,0.083,0.083,0.071
0.092,0.085,0.082,0.084,0.085,0.085,0.085,0.072
0.094,0.087,0.082,0.086,0.088,0.087,0.088,0.072
0.097,0.09,0.086,0.089,0.09,0.09,0.091,0.072
0.1,0.094,0.088,0.093,0.091,0.093,0.094,0.073
0.102,0.098,0.092,0.097,0.095,0.096,0.097,0.073
0.105,0.101,0.095,0.101,0.099,0.099,0.1,0.074
0.107,0.104,0.097,0.105,0.101,0.101,0.103,0.074
0.11,0.108,0.101,0.109,0.105,0.105,0.106,0.074
0.112,0.112,0.104,0.112,0.107,0.108,0.109,0.075
0.116,0.115,0.107,0.116,0.111,0.111,0.112,0.075
0.118,0.118,0.11,0.119,0.115,0.114,0.115,0.076
0.12,0.121,0.113,0.122,0.118,0.117,0.118,0.076
0.123,0.125,0.117,0.126,0.122,0.12,0.121,0.077
0.125,0.128,0.12,0.129,0.124,0.123,0.124,0.077
0.127,0.131,0.123,0.133,0.126,0.125,0.127,0.077
0.13,0.134,0.126,0.135,0.129,0.128,0.13,0.078
0.132,0.137,0.129,0.138,0.131,0.13,0.132,0.078
0.135,0.139,0.13,0.141,0.133,0.132,0.135,0.079
0.136,0.143,0.133,0.144,0.135,0.135,0.138,0.079
0.138,0.145,0.135,0.146,0.136,0.137,0.14,0.08
0.141,0.148,0.138,0.149,0.139,0.139,0.143,0.08
0.143,0.15,0.14,0.151,0.142,0.141,0.146,0.08
0.145,0.153,0.143,0.154,0.143,0.144,0.148,0.081
0.147,0.156,0.144,0.156,0.146,0.146,0.151,0.081
0.149,0.158,0.147,0.158,0.149,0.147,0.153,0.082
0.151,0.161,0.148,0.16,0.148,0.149,0.156,0.082
0.153,0.163,0.151,0.163,0.151,0.151,0.159,0.083
0.155,0.165,0.153,0.164,0.156,0.153,0.161,0.083
0.156,0.168,0.154,0.167,0.155,0.155,0.163,0.083
0.157,0.169,0.156,0.169,0.158,0.156,0.165,0.084
0.159,0.171,0.158,0.17,0.157,0.158,0.168,0.084
0.16,0.173,0.16,0.172,0.162,0.16,0.17,0.085
0.161,0.175,0.161,0.174,0.165,0.161,0.171,0.085
0.163,0.177,0.163,0.176,0.165,0.162,0.174,0.085
0.164,0.179,0.164,0.178,0.166,0.164,0.177,0.086
0.165,0.181,0.166,0.18,0.167,0.166,0.179,0.086
0.166,0.182,0.168,0.181,0.168,0.167,0.181,0.086
0.167,0.184,0.17,0.182,0.17,0.168,0.183,0.087
0.168,0.186,0.17,0.184,0.171,0.17,0.185,0.087
0.169,0.188,0.172,0.186,0.173,0.171,0.187,0.088
0.17,0.189,0.173,0.187,0.174,0.172,0.189,0.088
0.172,0.191,0.175,0.189,0.176,0.174,0.191,0.089
0.172,0.192,0.175,0.19,0.177,0.175,0.193,0.089
0.173,0.194,0.177,0.191,0.179,0.176,0.195,0.089
0.174,0.195,0.178,0.192,0.179,0.177,0.197,0.09
0.176,0.197,0.179,0.194,0.179,0.178,0.197,0.089
0.177,0.198,0.181,0.195,0.181,0.179,0.199,0.089
0.178,0.199,0.181,0.196,0.185,0.181,0.202,0.091
0.178,0.201,0.183,0.197,0.185,0.182,0.203,0.091
0.179,0.202,0.184,0.199,0.187,0.183,0.205,0.091
0.18,0.203,0.185,0.2,0.187,0.184,0.208,0.092
0.181,0.205,0.186,0.201,0.188,0.185,0.21,0.092
0.181,0.205,0.187,0.202,0.191,0.186,0.211,0.092
0.182,0.206,0.188,0.203,0.191,0.187,0.212,0.093
0.183,0.208,0.189,0.204,0.192,0.188,0.214,0.093
0.185,0.209,0.189,0.205,0.192,0.189,0.215,0.094
0.185,0.21,0.192,0.206,0.192,0.19,0.218,0.094
0.186,0.211,0.193,0.207,0.193,0.191,0.219,0.095
0.187,0.212,0.193,0.208,0.194,0.192,0.22,0.095
0.188,0.213,0.195,0.209,0.198,0.193,0.222,0.095
0.188,0.214,0.194,0.21,0.198,0.193,0.223,0.096
0.189,0.215,0.195,0.211,0.197,0.194,0.223,0.095
0.19,0.216,0.196,0.212,0.201,0.195,0.227,0.096
0.19,0.217,0.197,0.213,0.2,0.196,0.228,0.097
0.192,0.218,0.197,0.214,0.201,0.197,0.229,0.097
0.192,0.219,0.199,0.214,0.203,0.197,0.23,0.098
0.193,0.22,0.201,0.215,0.203,0.198,0.232,0.098
0.193,0.221,0.2,0.216,0.204,0.199,0.233,0.098
0.194,0.221,0.2,0.217,0.204,0.2,0.235,0.099
0.194,0.222,0.202,0.218,0.205,0.201,0.237,0.099
0.195,0.223,0.202,0.219,0.205,0.201,0.238,0.1
0.196,0.224,0.202,0.219,0.205,0.202,0.239,0.1
0.196,0.225,0.203,0.22,0.207,0.203,0.241,0.101
0.197,0.225,0.204,0.221,0.209,0.203,0.242,0.101
0.198,0.226,0.204,0.221,0.208,0.204,0.243,0.101
0.198,0.227,0.206,0.222,0.209,0.204,0.245,0.102
0.199,0.228,0.206,0.223,0.208,0.205,0.246,0.102
0.2,0.229,0.206,0.223,0.211,0.206,0.247,0.102
0.201,0.229,0.207,0.224,0.211,0.206,0.247,0.102
0.201,0.23,0.208,0.225,0.213,0.207,0.249,0.103
0.201,0.23,0.208,0.225,0.212,0.208,0.251,0.103
0.203,0.232,0.209,0.226,0.213,0.209,0.252,0.103
0.203,0.232,0.209,0.227,0.214,0.209,0.253,0.104
0.204,0.232,0.21,0.227,0.216,0.21,0.254,0.105
0.204,0.233,0.211,0.228,0.216,0.21,0.256,0.105
0.204,0.234,0.211,0.229,0.216,0.211,0.256,0.105
0.205,0.234,0.212,0.229,0.216,0.211,0.257,0.106
0.206,0.235,0.212,0.23,0.217,0.212,0.259,0.106
0.206,0.236,0.213,0.23,0.217,0.213,0.26,0.106
0.207,0.237,0.214,0.231,0.218,0.213,0.261,0.107
0.207,0.237,0.214,0.231,0.219,0.214,0.262,0.107
0.208,0.237,0.215,0.232,0.219,0.214,0.262,0.107
0.208,0.238,0.216,0.233,0.22,0.215,0.264,0.108
0.209,0.239,0.216,0.233,0.221,0.215,0.264,0.108
0.209,0.239,0.216,0.233,0.22,0.216,0.266,0.109
0.21,0.239,0.216,0.234,0.222,0.216,0.267,0.109
0.21,0.24,0.217,0.234,0.221,0.217,0.268,0.109
0.21,0.241,0.218,0.235,0.223,0.217,0.269,0.11
0.211,0.241,0.218,0.236,0.223,0.218,0.269,0.11
0.212,0.242,0.218,0.236,0.223,0.218,0.27,0.11
0.211,0.242,0.219,0.237,0.225,0.219,0.271,0.111
0.213,0.243,0.22,0.237,0.224,0.219,0.272,0.111
0.213,0.243,0.22,0.237,0.224,0.22,0.273,0.111
0.213,0.244,0.22,0.238,0.226,0.221,0.274,0.112
0.214,0.244,0.221,0.239,0.225,0.221,0.275,0.112
0.214,0.245,0.221,0.239,0.226,0.221,0.275,0.112
0.215,0.245,0.222,0.24,0.228,0.222,0.276,0.113
0.215,0.246,0.222,0.24,0.228,0.222,0.277,0.113
0.216,0.246,0.223,0.241,0.228,0.222,0.278,0.113
0.216,0.247,0.223,0.241,0.228,0.223,0.278,0.114
